% This data file provides a summary of historical and projected future changes in the annual average 
% temperature for the country or region: 
% 
%    Singapore
% 
% The historical data comes from Berkeley Earth's Land Temperature Dataset, http://www.berkeleyearth.org/
% 
% Future temperature projections are based on a range of scenarios used in the IPCC's Sixth Assessment Report.
% 
% The scenarios presented are:
% 
% * SSP1-2.6: which has significantly lower greenhouse gas emissions in the future and assumes net zero carbon 
%   dioxide worldwide by ~2080. Under this scenario, overall average global warming is expected to reach 
%   approximately 1.8°C by 2100.
% 
% * SSP2-4.5: an intermediate future emissions trajectory.  This assumes that modern emissions levels stay 
%   approximately consistent through 2050, before gradually declining.  Under this scenario, net zero is not 
%   reached by 2100, and global average warming is expected to have reached approximately 2.7°C by 2100 and 
%   still be rising.  Among the available scenarios, this is the closest to the world’s current behavior on 
%   emissions.
% 
% * SSP3-7.0: a high emissions, high warming scenario, that assumes the world not only fails to curtail 
%   greenhouse gas emissions, but that emissions continue to rise. Under this scenario, carbon dioxide 
%   emissions are assumed to double by 2100; average global temperatures would reach approximately 3.6°C 
%   above pre-industrial baseline, more than doubling current levels of warming.
% 
% In general, land areas are expected to warm faster than ocean areas in response to global warming.  As a
% result, the national average temperature time series presented here will nearly always show more warming
% than the corresponding global average in the same scenario.
% 
% For each future projection, national average time series were extracted from a collection of dozens of
% CMIP6 models by averaging each model's temperature field over the area of the nation and rescaling to match
% model estimates of the past to observed historical data from the same region.  This rescaling is necessary
% due to the low resolution of the climate model data.  In particular, apparent model outputs from territories
% with ocean coastlines tend too warm too slowly due to a mixing of land and ocean values at the low resolution
% of the models.  Rescaling corrects for that bias in the models, and ensures long-term model trends are
% consistent with the observational data during the historical period.  Averages were then constructed from
% the collection of models and 90% ranges reported based on the variation amongst the models.
% 
% Each model scenario comes with some uncertainty regarding the future warming response to a given emissions
% trajectory.  Significantly though, the uncertainty regarding the amount of warming that will occur in the
% future is dominated about uncertainty regarding the future of greenhouse gas emissions.  Human actions
% will determine how much greenhouse gas is emitted this century and thus are the most significant factor
% in determining the future warming trajectory.
% 
% All temperatures are expressed in degrees C relative to a late 19th century baseline.
% 
%% Country: Singapore
%% Short_Name: Singapore
%% ISO_Code: SGP

% Year, Annual Average, Annual Average Unc, 10-year Smooth, SSP1-2.6, SSP1-2.6 Upper Unc, SSP1-2.6 Lower Unc, SSP2-4.5, SSP2-4.5 Upper Unc, SSP2-4.5 Lower Unc, SSP3-7.0, SSP3-7.0 Upper Unc, SSP3-7.0 Lower Unc, Model Historical
1825	-0.19	0.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1827	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1829	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1830	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1833	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1835	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1837	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1838	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1839	-0.47	0.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1840	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1841	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1842	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1843	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1845	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1848	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1850	-0.19	0.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.22
1851	-0.13	0.66	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.22
1852	-0.23	0.52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.23
